entry_date,ticker,sector,entry_price,entry_score,entry_reason,model_version,created_at,real_strength_med10,leadership_med10,long_med10,sector_med10,short_momentum_score,flow_score,trend_score,real_strength_score,residual_mom_60,residual_mom_120,rs_persistence_count,path_quality_60,return_concentration_60,rs_60,rs_120,rs_sector_60,sector_rs_60,weekly_ret12,medium_trend_confirm,weekly_trend_confirm,ret_5,ma20_distance,volume_ratio_20,macd,macd_hist,ma20,ma50,stage
2026-05-13,QNS,Thực phẩm và đồ uống,47.95,75.5063405797101,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,QNS,Thực phẩm và đồ uống,49.5,88.6314484126984,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-21,REE,"Điện, nước & xăng dầu khí đốt",57.3,79.8857808857809,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,REE,"Điện, nước & xăng dầu khí đốt",56.05,75.1650219298246,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-13,REE,"Điện, nước & xăng dầu khí đốt",55.44,79.9983660130719,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,SAB,Thực phẩm và đồ uống,43.97,89.3288690476191,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,SAB,Thực phẩm và đồ uống,45.42,72.4430970149254,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,SAB,Thực phẩm và đồ uống,45.47,75.7706705729167,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,SAB,Thực phẩm và đồ uống,46.8,79.7375992063492,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17,SBT,Thực phẩm và đồ uống,23.35,85.9222005208333,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,SHS,Dịch vụ tài chính,18.2,76.1167599502487,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,SHS,Dịch vụ tài chính,18.4,73.7691102756892,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,SHS,Dịch vụ tài chính,18.2,72.8831380208333,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03,SHS,Dịch vụ tài chính,19.3,83.8513779527559,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,SHS,Dịch vụ tài chính,19.4,84.125,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,SIP,Bất động sản,57.7,74.3688988095238,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,SSB,Ngân hàng,14.4,88.8145363408521,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04,SSI,Dịch vụ tài chính,26.96,80.4335768398268,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,STB,Ngân hàng,58.0,79.3546163069544,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,STB,Ngân hàng,65.4,81.0353717026379,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25,STB,Ngân hàng,72.2,87.3785807291667,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20,STB,Ngân hàng,73.0,79.7451550387597,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,STB,Ngân hàng,72.0,83.9949186521788,Pullback resume + HTF confirm,v3-real-strength-2026-09-20,2026-09-20T08:39:35.688391+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,STB,Ngân hàng,72.0,82.54801000012398,Pullback resume + HTF confirm,v4-residual-strength-2026-09-21,,75.52803200630989,78.57267441860463,84.29854045542635,85.69444444444444,81.35658914728683,66.27906976744185,84.6124031007752,75.72516371500073,0.10784631582817808,0.34686673850548694,3.0,0.07984986940396371,0.30348346392936965,0.15133857917115678,0.2395776981040435,0.07666527419109825,0.07467330498005853,0.1325115562403698,True,True,0.0027855153203342198,0.002436477549599747,1.4184282377563926,0.2305004218497828,0.04102094325852329,71.825,71.01,NEUTRAL
2026-09-04,STB,Ngân hàng,77.3,81.2523521505376,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12,TCB,Ngân hàng,37.22,68.6675347222222,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,TCB,Ngân hàng,32.61,72.7959692028986,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,TCB,Ngân hàng,33.75,78.7790064102564,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04,TCB,Ngân hàng,32.6,73.5310819892473,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14,TCH,Bất động sản,15.75,81.1370133819951,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-28,TCH,Bất động sản,16.3,76.0461956521739,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,TCX,Dịch vụ tài chính,37.51,86.16175,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-20,TNG,Hàng cá nhân & Gia dụng,17.9,87.2856934731935,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29,TNG,Hàng cá nhân & Gia dụng,19.37,85.345643939394,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,TPB,Ngân hàng,16.6,86.5813333333334,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04,TVN,Tài nguyên Cơ bản,9.8,84.0716397849463,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,TVN,Tài nguyên Cơ bản,9.6,69.0527686403509,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,VAB,Ngân hàng,9.82,79.83837890625,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,VC3,Bất động sản,27.01,71.8034037558685,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18,VCB,Ngân hàng,62.74,76.1444128787879,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,VCB,Ngân hàng,62.54,80.1796666666667,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26,VCB,Ngân hàng,60.3,69.3819444444444,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15,VCB,Ngân hàng,60.0,73.0034722222222,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
